Kering;Kering Live
MAIF;100% Client
faberNovel Inc (SF / NY);LX SF Altarea Cogedim
Orange;Formation Marketing Saison 2
Orange;Lean Analytics Workshop
BNP Paribas SA;LX BNP Emerging Talents
Ardian;Digital Coaching Ardian
L'Oréal SA;Demi-journée RH
Samsung Electronics France;LX à Paris High Potentials
Fromageries Bel;Workshop vision
Vinci;Workshop Convention Internationale Vinci 2016
BNP Paribas SA;Programme Intrapreneuriat BNP CIB
Jaeger-LeCoultre;Digital Compagnon
Groupama;Séminaire TOP 100
Groupe Adeo;Hackaton Entreprise Plateforme
Euler Hermes Services;DataScience Training Session
RATP;Embarquement TOP 50 Workshop
Vinci;Séminaire + Accélération Projets RH Vinci
Samsung Electronics France;Samsung Acculturation Managers LOT 1
Chanel;Séminaire DSI
BNP Paribas SA;Conférence RévNum
MAIF;100% client session 6
Fromageries Bel;Séminaire RH
Vinci;Think Tank Design
BNP Paribas SA;Coffee Break BNP Paribas
BNP Paribas SA;Accompagnement numérique BNP 2016
EDF;S'imposer dans l'écosystème
BNP Paribas SA;Design Thinking & Méthodes Agiles
Pierre Fabre SA;LX Pierre Fabre Comité Pharma
Samsung Electronics France;Convention Annuelle 2016
Fromageries Bel;Reverse Mentoring Interne Bel
Le Bon Marché;Formation High Potentials Le Bon Marché
Groupe Adeo;Séminaire DG plate-formisation
L'Oréal SA;L’Oréal active cosmetics - Module digital
Buffalo Grill;Journée Digital Culture
Groupama;One Day Digital Journey
Orange;Formation Marketing Digital
MAIF;MAIF Marketing 2.0
Amadeus;Formation API
Orange;Session supplémentaire Marketing Digital
Artemis;Digital Vision Artemis 2016
L'Oréal SA;Séminaire RH Digital
Transdev Group;TPG Lyrique Transdev
Groupama;Tutoriel Réseaux Sociaux
Chanel;Chanel Tech Playground
BNP Paribas SA;LX Copenhague
Multi-client;GAFAnomics Academy
LVMH;Talk Cyril Vart
Gares & Connexions SNCF;Design Thinking 11 Février
BNP Paribas SA;Séminaire Achats Groupe BNP Paribas
Kiabi;Kiabi Startup Challenges
Groupe Adeo;LX MWC
JCDecaux;JCDecaux Hacking Day
IMA;Digital Journey IMA
BNP Paribas SA;Digital Journey BNP Retail Banking
Elior;Atelier Design Thinking
GAN Assurances;Présentation RH et Numérique
Sogeprom;[INTRANET] Accélération Numérique
Multi-client;[INTRANET] Journée futur des RH
LVMH;[INTRANET] Digital Journey Holding 2
Groupama;[INTRANET] Atelier Accélération
Bulgari;[INTRANET] Digital Journey Bulgari
Engie;[INTRANET] VISION 2016
Fromageries Bel;[INTRANET] TechPlayground v2
Total Learning Solutions;[INTRANET] Total Playground Relation Client
Orange;[INTRANET] Algorithmie
BNP Paribas SA;[INTRANET] BNP Paribas LX II
GDF Suez;[INTRANET] B3G - GDF SUEZ
Vinci;[INTRANET] Séminaire Prototypage
Groupama;[INTRANET] LX Groupama
Orange;[INTRANET] Code for Orange
Leroy Merlin;[INTRANET] Atelier Futur du Travail
Leroy Merlin;[INTRANET] Atelier Proximité
BNP Paribas SA;[INTRANET] LX RH Paris
Groupama;[INTRANET] Intervention RH
Saretec;[INTRANET] LX
SNCF;[INTRANET] Atelier Proto Challenge Open Inno
ERDF;[INTRANET] Programme DR
Hello bank!;[INTRANET] Séminaire Cookbook
Groupama;[INTRANET] Séminaire TOP 100
LVMH;[INTRANET] Digital Journey Holding
L'Oréal SA;[INTRANET] Séminaire RH
Roularta;[INTRANET] Présentation GAFAnomics Roularta
Audencia;[INTRANET] Audencia Talent
Transdev Group;[INTRANET] TechPlayGround Transdev
Danone;[INTRANET] Open Leader
Altran;[INTRANET] Présentation GAFAnomics Altran
Groupe Bel;[INTRANET] Formation Digitale
Leroy Merlin;[INTRANET] Voyages & Prototypage
Groupe Bel;[INTRANET] Learning Expedition
JCDecaux;[INTRANET] Learning Exp
AAA Data;[INTRANET] Design Thinking
Leroy Merlin;[INTRANET] LX Paris
Plastic Omnium;[INTRANET] Coaching DirCom
Française des Jeux;[INTRANET] TechPlayGround Française des Jeux
SNCF;Séminaire CODIR Design Thinking
Editis;[INTRANET] Formation Culture digitale Phase 1
Econocom;[INTRANET] Google vs Microsoft
Leroy Merlin;[INTRANET] Journée Open Inno
Make Up Forever;[INTRANET] Digital Journey Make Up Forever
Orange;[INTRANET] Matinale RH
GDF Suez;[INTRANET] Leader For Tomorrow
GDF Suez;[INTRANET] Accompagnement stratégique RH
Europcar;[INTRANET] Programme Codir Europcar
Société Générale SA;Séminaire Inspire
Danone;[INTRANET] New Connected Leaders
France TV;[INTRANET] Formation directeurs d'antennes
Le Caméléon;[INTRANET] TechPlayGround Le Caméléon
ERDF;[INTRANET] Présentation GAFAnomics ERDF
Guerlain;[INTRANET] Digital Journey Guerlain
Bongrain;[INTRANET] Digital RH Transfo
AbbVie;[INTRANET] Board Digital Rhumato
Orange;[INTRANET] Formation API Orange - Distance
LVMH;[INTRANET] Pilote Digital Journey
Kiabi;[INTRANET] Journée Relation Clients
Unibail Rodamco;[INTRANET] Learning Expedition SF
Groupe Adeo;[INTRANET] Learning Expedition NY
Generali;[INTRANET] Startup Market All in One
ADP;Workshop BizDev
BNP Paribas SA;Keynote DATA GAFA
Brico Dépôt France;Techplayground
faberNovel OOO (Moscou);RVC Acceleration Booster
Fromageries Bel;TechPlayground v1
Orange;Formation Code REMIX
Axa;Séminaire Digital Transformation
SNCF;LX Pepy/Tyrode/Ropert
Transdev Group;Séminaire COMEX
Leroy Merlin;Atelier RFID
Orange;Codir Orange
Société Générale SA;Shot Innovation
Transport Jammet;Intervention Jammet
